kind,path,size_bytes,size_readable
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\alembic\runtime\__pycache__,106687,104.19 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\indexes\timedeltas\__pycache__,106114,103.63 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\_testing\__pycache__,105880,103.40 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\numpy\__pycache__,105725,103.25 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\sqlalchemy\pool\__pycache__,103204,100.79 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\core\arrays\sparse\__pycache__,103005,100.59 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\libs\__pycache__,102473,100.07 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\internals\__pycache__,101130,98.76 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\cryptography\hazmat\primitives\serialization\__pycache__,100643,98.28 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\indexes\ranges\__pycache__,98449,96.14 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\uvicorn\__pycache__,98230,95.93 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\plotting\__pycache__,95260,93.03 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\io\json\__pycache__,93846,91.65 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\openpyxl\pivot\__pycache__,93646,91.45 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\numpy\matrixlib\tests\__pycache__,92607,90.44 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\h11\__pycache__,91227,89.09 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\__pycache__,91198,89.06 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\dateutil\parser\__pycache__,90274,88.16 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\sqlalchemy\event\__pycache__,90202,88.09 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\series\accessors\__pycache__,88462,86.39 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\anyio\__pycache__,86290,84.27 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\docxcompose\__pycache__,85486,83.48 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\base\__pycache__,85047,83.05 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\numpy\fft\__pycache__,84922,82.93 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\arrays\integer\__pycache__,84633,82.65 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\sqlalchemy\ext\mypy\__pycache__,83876,81.91 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pip\_internal\vcs\__pycache__,83191,81.24 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pip\_vendor\tenacity\__pycache__,82574,80.64 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\docx\image\__pycache__,81910,79.99 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\multipart\__pycache__,81509,79.60 KB
